Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Kenbrell Thompkins (WR, OAK)",KC,#12,320,136,0.00,0.00,0.00,0.06,0.62,0.00,-0.03-0.17,0.07,0.12,$3000,0.04
"Vincent Brown (WR, OAK)",KC,#12,323,137,0.00,0.00,0.00,0.06,0.52,0.00,-0.01-0.09,0.04,0.11,$3000,0.04
"Freddie Martino (WR, ATL)",CLE,#18,326,138,0.00,0.00,0.00,0.01,0.16,0.00,-0.02-0.02,0.00,0.02,$3000,0.01
"Brenton Bersin (WR, CAR)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Isaiah Burse (WR, DEN)",MIA,#1,326,138,0.00,0.00,0.00,0.01,0.18,0.00,-0.02-0.02,0.00,0.02,$3000,0.01
"Philly Brown (WR, CAR)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Martavis Bryant (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Kelvin Benjamin (WR, CAR)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Jerricho Cotchery (WR, CAR)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Markus Wheaton (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Rod Streater (WR, OAK)",KC,#12,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"A.J. Jenkins (WR, KC)",OAK,#14,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$3000,0
"Antonio Brown (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Darrius Heyward-Bey (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Lance Moore (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Brad Smith (WR, PHI)",TEN,#27,326,138,0.00,0.00,0.00,0.01,0.14,0.00,-0.02-0.02,0.00,0.01,$3000,0
"Donnie Avery (WR, KC)",OAK,#14,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$3000,0
"Jason Avant (WR, CAR)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Justin Brown (WR, PIT)",BYE,,326,138,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
